,County,Income per Capita,Population,Doses,Doses per Capita
0,"Autauga, AL",43917,55869,200.0,0.003579802752868317
1,"Baldwin, AL",47485,223234,100.0,0.0004479604361342806
2,"Barbour, AL",35763,24686,300.0,0.01215263712225553
3,"Bibb, AL",31725,22394,100.0,0.00446548182548897
4,"Blount, AL",36412,57826,500.0,0.008646629543803826
5,"Bullock, AL",29080,10101,200.0,0.0198000198000198
6,"Butler, AL",37523,19448,200.0,0.010283833813245578
7,"Calhoun, AL",38394,113605,1000.0,0.008802429470533868
8,"Chambers, AL",35900,33254,0.0,0.0
9,"Cherokee, AL",36432,26196,0.0,0.0
10,"Chilton, AL",36188,44428,300.0,0.0067524984244170345
11,"Choctaw, AL",40145,12589,0.0,0.0
12,"Clarke, AL",37965,23622,0.0,0.0
13,"Clay, AL",34322,13235,100.0,0.007555723460521345
14,"Cleburne, AL",35791,14910,100.0,0.00670690811535882
15,"Coffee, AL",43979,52342,200.0,0.0038210232700317147
16,"Colbert, AL",39679,55241,0.0,0.0
17,"Conecuh, AL",34892,12067,600.0,0.049722383359575704
18,"Coosa, AL",32523,10663,700.0,0.06564756635093313
19,"Covington, AL",36756,37049,0.0,0.0
20,"Crenshaw, AL",37118,13772,300.0,0.02178332849259367
21,"Cullman, AL",40818,83768,200.0,0.0023875465571578645
22,"Dale, AL",37853,49172,2340.0,0.047588058244529406
23,"Dallas, AL",38362,37196,0.0,0.0
24,"DeKalb, AL",33242,71513,0.0,0.0
25,"Elmore, AL",44316,81209,500.0,0.006156953047076063
26,"Escambia, AL",34432,36633,100.0,0.002729779160865886
27,"Etowah, AL",38326,102268,800.0,0.007822583799428951
28,"Fayette, AL",36465,16302,700.0,0.04293951662372715
29,"Franklin, AL",35292,31362,400.0,0.012754288629551688
30,"Geneva, AL",36848,26271,500.0,0.019032393133112557
31,"Greene, AL",33386,8111,0.0,0.0
32,"Hale, AL",38207,14651,0.0,0.0
33,"Henry, AL",43502,17205,100.0,0.005812263876780006
34,"Houston, AL",44647,105882,100.0,0.0009444475926030865
35,"Jackson, AL",38315,51626,0.0,0.0
36,"Jefferson, AL",57329,658573,100.0,0.00015184345547114745
37,"Lamar, AL",35148,13805,0.0,0.0
38,"Lauderdale, AL",38758,92729,100.0,0.001078411284495681
39,"Lawrence, AL",35039,32924,600.0,0.018223788118090146
40,"Lee, AL",39781,164542,100.0,0.0006077475659709983
41,"Limestone, AL",44946,98915,100.0,0.001010969013799727
42,"Lowndes, AL",40785,9726,0.0,0.0
43,"Macon, AL",34901,18068,200.0,0.011069293779056896
44,"Madison, AL",54010,372909,300.0,0.0008044858128926897
45,"Marengo, AL",41567,18863,0.0,0.0
46,"Marion, AL",34000,29709,14040.0,0.47258406543471676
47,"Marshall, AL",37345,96774,100.0,0.0010333354000041334
48,"Mobile, AL",40112,413210,100.0,0.00024200769584472787
49,"Monroe, AL",35174,20733,0.0,0.0
50,"Montgomery, AL",45479,226486,400.0,0.0017661135787642504
51,"Morgan, AL",41741,119679,0.0,0.0
52,"Perry, AL",33529,8923,1200.0,0.13448391796481005
53,"Pickens, AL",33890,19930,0.0,0.0
54,"Pike, AL",38473,33114,200.0,0.00603974149906384
55,"Randolph, AL",33804,22722,0.0,0.0
56,"Russell, AL",33986,57961,600.0,0.01035178827142389
57,"St. Clair, AL",40766,89512,200.0,0.0022343372955581373
58,"Shelby, AL",56830,217702,200.0,0.000918687012521704
59,"Sumter, AL",33009,12427,500.0,0.040234972237869156
60,"Talladega, AL",36125,79978,100.0,0.0012503438445572532
61,"Tallapoosa, AL",42509,40367,500.0,0.01238635519112146
62,"Tuscaloosa, AL",40648,209355,100.0,0.0004776575672900098
63,"Walker, AL",42477,63521,600.0,0.009445695124447033
64,"Washington, AL",37837,16326,100.0,0.006125199068969742
65,"Wilcox, AL",34903,10373,0.0,0.0
66,"Winston, AL",35776,23629,200.0,0.008464175377713826
67,"Aleutian Islands Census Area, AK*",1,1,300.0,300.0
68,"Aleutians East Borough, AK*",62537,3337,0.0,0.0
